MonthYear,Time index,Country,StoreID,City,Dept_ID,Dept. Name,HoursOwn,HoursLease,Sales units,Turnover,Customer,Area (m2),Opening hours
10.2016,1,United Kingdom,88253,London (I),1,Dry,3184.764,0,398560,1226244,,953.04,Type A
10.2016,1,United Kingdom,88253,London (I),2,Frozen,1582.941,0,82725,387810,,720.48,Type A
10.2016,1,United Kingdom,88253,London (I),3,other,47.205,0,438400,654657,,966.72,Type A
10.2016,1,United Kingdom,88253,London (I),4,Fish,1623.852,0,309425,499434,,1053.36,Type A
10.2016,1,United Kingdom,88253,London (I),5,Fruits & Vegetables,1759.173,0,165515,329397,,1053.36,Type A
10.2016,1,United Kingdom,88253,London (I),6,Meat,8270.316,0,1713310,5617137,,11735.16,Type A
10.2016,1,United Kingdom,88253,London (I),13,Food,16468.251,0,3107935,8714679,,19865.64,Type A
10.2016,1,United Kingdom,88253,London (I),7,Clothing,4698.471,0,213680,1615341,,8513.52,Type A
10.2016,1,United Kingdom,88253,London (I),8,Household,1183.272,0,54915,290400,,4842.72,Type A
10.2016,1,United Kingdom,88253,London (I),9,Hardware,2029.815,0,59260,450015,,5608.8,Type A
10.2016,1,United Kingdom,88253,London (I),14,Non Food,7911.558,0,327855,2355756,,19238.64,Type A
10.2016,1,United Kingdom,88253,London (I),15,Admin,4308.243,0,0,0,,0,Type A
10.2016,1,United Kingdom,88253,London (I),12,Checkout,5825.097,0,3435790,11070435,,39104.28,Type A
10.2016,1,United Kingdom,88253,London (I),16,Customer Services,3320.085,0,0,0,,0,Type A
10.2016,1,United Kingdom,88253,London (I),11,Delivery,0,0,0,0,,0,Type A
10.2016,1,United Kingdom,88253,London (I),17,others,2253.252,0,0,0,,0,Type A
10.2016,1,United Kingdom,88253,London (I),18,all,40086.486,0,3435790,11070435,,39104.28,Type A
10.2016,1,United Kingdom,38976,Manchester,1,Dry,2583.687,0,754600,2648175,,1404.48,Type A
10.2016,1,United Kingdom,38976,Manchester,2,Frozen,5145.345,0,216925,1291830,,1057.92,Type A
10.2016,1,United Kingdom,38976,Manchester,3,other,47.205,0,1111835,1822749,,1235.76,Type A
10.2016,1,United Kingdom,38976,Manchester,4,Fish,3008.532,0,918270,170775,,843.6,Type A
10.2016,1,United Kingdom,38976,Manchester,5,Fruits & Vegetables,8909.157,0,507295,1068444,,1479.72,Type A
10.2016,1,United Kingdom,38976,Manchester,6,Meat,15779.058,0,3408220,12831339,,10633.92,Type A
10.2016,1,United Kingdom,38976,Manchester,13,Food,35472.984,0,6917145,21423312,,17521.8,Type A
10.2016,1,United Kingdom,38976,Manchester,7,Clothing,7889.529,0,421280,3390450,,6256.32,Type A
10.2016,1,United Kingdom,38976,Manchester,8,Household,1762.32,0,82835,382380,,3556.8,Type A
10.2016,1,United Kingdom,38976,Manchester,9,Hardware,2797.683,0,55420,523590,,4119.96,Type A
10.2016,1,United Kingdom,38976,Manchester,14,Non Food,12449.532,0,559535,4296420,,15346.68,Type A
10.2016,1,United Kingdom,38976,Manchester,15,Admin,6967.458,0,5,0,,0,Type A
10.2016,1,United Kingdom,38976,Manchester,12,Checkout,11719.428,0,7476680,25719732,,32868.48,Type A
10.2016,1,United Kingdom,38976,Manchester,16,Customer Services,5491.515,0,5,0,,0,Type A
10.2016,1,United Kingdom,38976,Manchester,11,Delivery,0,0,120,243,,0,Type A
10.2016,1,United Kingdom,38976,Manchester,17,others,2300.457,0,5,0,,0,Type A
10.2016,1,United Kingdom,38976,Manchester,18,all,74401.374,0,7476680,25719732,,32868.48,Type A
10.2016,1,United Kingdom,17647,Liverpool,1,Dry,2341.368,0,532855,1853250,,1158.24,Type A
10.2016,1,United Kingdom,17647,Liverpool,2,Frozen,3077.766,184,167015,859218,,262.2,Type A
10.2016,1,United Kingdom,17647,Liverpool,3,other,47.205,0,896495,140016,,1096.68,Type A
10.2016,1,United Kingdom,17647,Liverpool,4,Fish,2196.606,210,485250,825447,,987.24,Type A
10.2016,1,United Kingdom,17647,Liverpool,5,Fruits & Vegetables,3383.025,0,309260,583395,,1842.24,Type A
10.2016,1,United Kingdom,17647,Liverpool,6,Meat,16493.427,758,3142355,10552749,,11979.12,Type A
10.2016,1,United Kingdom,17647,Liverpool,13,Food,27539.397,1152,5533230,16134075,,18543.24,Type A
10.2016,1,United Kingdom,17647,Liverpool,7,Clothing,8528.37,0,305310,2621853,,7337.04,Type A
10.2016,1,United Kingdom,17647,Liverpool,8,Household,1957.434,0,76875,369015,,5540.4,Type A
